1,Asparagus,Vegetables,20,3.9
2,Radishes,Vegetables,16,3.4
3,Strawberries,Fruit,32,8
4,Blood oranges,Fruit,50,11.8
5,Cranberries,Fruit,46,82
6,Rhubarb,Fruit,21,4.5
7,Cabbage,Vegetables,25,6
8,Lettuce,Vegetables,15,2.9
9,Gherkin,Vegetables,14,2.3
10,Tomato,Vegetables,18,3.9
11,Blackberries,Fruit,43,10
12,Pumpkin,Vegetables,26,7
13,Mushrooms,Vegetables,22,3.3
14,Zucchini,Vegetables,17,3.1
15,Eggplant,Vegetables,25,6
16,Cantaloupe,Fruit,34,8
17,Cucumber,Vegetables,16,11
18,Peach,Fruit,39,9.54
20,Watermelon,Fruit,30,8
22,Grapes,Fruit,69,17
23,Cauliflower,Vegetables,25,5
24,Papaya 44,Fruit,34,6.9
25,Spinach,Vegetables,23,3.6
